gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
6,45,6,6,286,"[0.5954449610514236, 4.479245800782905, 4.641156604384135]","[[0.013446240727359123, -0.052242893239953285, 0.016645960074245243], [-0.05224289323995328, 0.2420936420699742, -0.03872444673247901], [0.016645960074245247, -0.038724446732479025, 0.2974854585537995]]",0.15073212560806823,False,vbgmm,6.6187334060668945
6,46,7,0,139,"[0.653796980299274, 5.499853237591292, 5.62137015824384]","[[0.028013537889102335, -0.004998873558013972, 0.01742057814446817], [-0.004998873558013971, 0.02464272878363392, -0.008187707569623903], [0.01742057814446817, -0.008187707569623904, 0.03939394521610794]]",0.2071359980886964,False,vbgmm,5.205328464508057
6,47,7,1,133,"[0.7276105264259363, 4.595584842396332, 5.614411287495658]","[[0.020067958783477956, -0.04713470964385174, 0.0009671676636922537], [-0.04713470964385174, 0.13915944120298435, -0.02408200845897138], [0.0009671676636922532, -0.02408200845897138, 0.05841227440884214]]",0.17922524825020422,False,vbgmm,4.855249643325806
6,48,7,2,90,"[0.6089150472688908, 5.147907026122686, 4.179055632937369]","[[0.021548593577191792, -0.0489412250108288, -0.0067790872553877835], [-0.0489412250108288, 0.12159468983039476, -0.006536242194545525], [-0.0067790872553877835, -0.006536242194545525, 0.48918690407973414]]",0.12482620179335627,False,vbgmm,5.1937971115112305
6,49,7,3,135,"[0.47511734522703886, 5.3883769999189655, 5.171782698606939]","[[0.006604345610687597, -0.01102608048276025, -0.0054558858224071785], [-0.01102608048276025, 0.03330894160477498, 0.002639720306866603], [-0.005455885822407178, 0.002639720306866603, 0.11574374906897561]]",0.16520854192650447,False,vbgmm,4.9091856479644775
6,50,7,4,200,"[0.6632582445746672, 5.074272800901555, 5.784004237660583]","[[0.022366532136543726, -0.032589662161285865, 0.006809058146218918], [-0.032589662161285865, 0.09232792392056968, -0.006393735810353549], [0.006809058146218917, -0.006393735810353548, 0.02298357235421418]]",0.26153748657255316,False,vbgmm,5.373468399047852
6,51,7,5,40,"[0.8179484779378491, 4.571102658749767, 4.852646474203819]","[[0.0075307228092814675, -0.01742166887904057, -0.007516762335482394], [-0.01742166887904057, 0.05492134873741344, 0.021167602167890646], [-0.007516762335482395, 0.021167602167890643, 0.21497589160257657]]",0.06206652336868545,False,vbgmm,4.465196371078491
9,0,0,0,611,"[0.8109554372102113, 4.971360793429744, 5.716104831315093]","[[0.011279637026790051, -0.022830291875875833, 0.0006276644337212001], [-0.022830291875875833, 0.11677635073767358, -0.004952474532015109], [0.0006276644337212002, -0.004952474532015109, 0.036811147458729064]]",0.16346267290821473,False,vbgmm,15.896786451339722
9,1,0,1,706,"[0.9341845503225876, 5.211777252898131, 5.213622337600945]","[[0.002239282564845175, -0.0005197404239587177, 0.0011442257813856552], [-0.0005197404239587177, 0.08290566105614776, 0.015766852735188287], [0.001144225781385655, 0.01576685273518829, 0.2221530374591355]]",0.17803812622797607,False,vbgmm,21.025707483291626
9,2,0,2,722,"[0.7080935084311661, 5.606886954037584, 4.8313274872576715]","[[0.024361980473999473, -0.0016568779578244332, 0.007544631444452454], [-0.0016568779578244332, 0.004995179893379074, 0.0012993807732543145], [0.007544631444452454, 0.0012993807732543145, 0.41052713467385193]]",0.18499818136098814,False,vbgmm,21.431986331939697
9,3,0,3,347,"[0.8029650405889968, 5.030570340925677, 3.3287155557052617]","[[0.017490658669441696, -0.03250356220876624, 0.03498757886735401], [-0.03250356220876625, 0.11407199835884112, -0.16362064001966153], [0.03498757886735401, -0.16362064001966153, 1.3287459158834094]]",0.08920471378318079,False,vbgmm,6.522421836853027
9,4,0,4,388,"[0.778100796187475, 5.387741481457341, 3.9155298903537687]","[[0.01643879161214289, -0.0005759989932412344, -0.03260928883360606], [-0.0005759989932412338, 0.027937873094032156, -0.08961392643059969], [-0.03260928883360606, -0.08961392643059969, 0.8397945321769188]]",0.11438858861485396,False,vbgmm,7.7218804359436035
9,5,0,5,521,"[0.6350715281182692, 5.431900607841589, 5.352426368383779]","[[0.015259226785382484, -0.012779716350314179, -0.02165560133787549], [-0.01277971635031418, 0.02427607385920685, 0.018921786870075247], [-0.02165560133787549, 0.018921786870075244, 0.13478323777445755]]",0.13225665517096416,False,vbgmm,11.01400113105774
9,6,0,6,490,"[0.6977504763703719, 4.998276349200935, 5.160437125731636]","[[0.020460377175534852, -0.04893552231160879, -0.009817093639749863], [-0.04893552231160879, 0.133190679354214, -0.002273753850047564], [-0.009817093639749865, -0.0022737538500475635, 0.22089912567041667]]",0.13765106193382212,False,vbgmm,9.664471864700317
9,7,1,0,82,"[0.7083925957181851, 2.0545775706423672, 2.5623876905903704]","[[0.02342952034752774, -0.014182281849160852, 0.013779162509814953], [-0.014182281849160854, 0.07000598094830815, -0.0030106881399345167], [0.013779162509814952, -0.0030106881399345167, 2.145720516017787]]",0.10579664915185466,False,vbgmm,3.9571046829223633
9,8,1,1,88,"[0.5803542594925489, 3.0243614590099352, -2.773876688218714]","[[0.023984538903140937, -0.07579617685410779, 0.007267013797288574], [-0.0757961768541078, 0.540278805422528, -0.12176791125645126], [0.007267013797288574, -0.12176791125645127, 1.8278297602461056]]",0.09760800934702869,False,vbgmm,3.8866074085235596
9,9,1,2,235,"[0.610663708179388, 3.1510491232557998, 4.16212530695494]","[[0.0265682247470176, -0.09966608971626764, -0.03340757300853963], [-0.09966608971626763, 0.4535494654715532, 0.02199497865241197], [-0.03340757300853964, 0.02199497865241198, 0.7255061270618057]]",0.23649751067106436,False,vbgmm,4.906834840774536
9,10,1,3,171,"[0.5544675733349745, 2.573500891074977, 3.604010743833509]","[[0.013299189155954731, -0.032352773870089106, 0.05558314435153284], [-0.032352773870089106, 0.17102929665199995, -0.2215338262263021], [0.055583144351532845, -0.22153382622630213, 1.1746262905324665]]",0.17644019353457358,False,vbgmm,4.409332513809204
9,11,1,4,63,"[0.6828483757945298, 2.409916601892401, -0.17179407905449584]","[[0.018529775548577848, -0.03344995718361053, -0.07895953750099308], [-0.03344995718361054, 0.18418915300991673, 0.5795412538475473], [-0.07895953750099308, 0.5795412538475473, 4.352958790690462]]",0.07367955650098283,False,vbgmm,3.7217440605163574
9,12,1,5,153,"[0.34297318153083334, 3.9229084045890876, 3.680217398134713]","[[0.00205549017432845, -0.005852241060892797, -0.0078081197080659935], [-0.005852241060892798, 0.287966460095658, -0.15350579331637973], [-0.0078081197080659935, -0.15350579331637973, 1.3870968653959892]]",0.1435478434178514,False,vbgmm,4.422005891799927
9,13,1,6,150,"[0.39841061519815973, 2.8663300787087103, 4.881963512677503]","[[0.005600294408212835, -0.008640548280312091, -0.0017607104781773178], [-0.008640548280312093, 0.45006865727213674, -0.0705577754060373], [-0.0017607104781773178, -0.07055777540603729, 0.2957772889341623]]",0.16643023737664447,False,vbgmm,4.3627917766571045
9,14,2,0,498,"[0.3846785741565338, 5.1061738242658095, 4.6873484977162905]","[[0.0033078263637491643, -0.006977597901229018, -0.008181390575306542], [-0.006977597901229018, 0.11638759307675411, -0.07688288891007869], [-0.008181390575306542, -0.07688288891007868, 0.5792870073191216]]",0.16362075222775685,False,vbgmm,9.830367088317871
9,15,2,1,873,"[0.568450784877555, 4.724547488206729, 5.743038068990839]","[[0.03145021589897171, -0.07401278232179732, -0.0017986889862351225], [-0.07401278232179732, 0.2335494508415743, 0.0006078392035604989], [-0.0017986889862351225, 0.0006078392035604989, 0.030857395775488]]",0.2551666417358372,False,vbgmm,87.04960489273071
9,16,2,2,371,"[0.6269944466074753, 4.832121388941028, 3.315403475107379]","[[0.03153970873918475, -0.07214848859252734, 0.04442835047204365], [-0.07214848859252733, 0.2093341300760109, -0.09406589563033062], [0.044428350472043666, -0.09406589563033063, 1.2914533243767812]]",0.12064957955886192,False,vbgmm,6.715807676315308
9,17,2,3,622,"[0.4349552253360208, 5.339434386303945, 5.29263857118132]","[[0.0080661459915096, -0.01715106950054302, -0.011565368891010506], [-0.01715106950054302, 0.05278649053025674, 0.013469968681845962], [-0.011565368891010506, 0.013469968681845962, 0.1975134004796504]]",0.17553775564054638,False,vbgmm,15.73543381690979
9,18,2,4,493,"[0.7254814782962867, 4.36151461610687, 4.807169869781591]","[[0.02301899829080248, -0.05150806703104601, 0.010309940873363722], [-0.051508067031046004, 0.1884672501484689, 0.004068772529529784], [0.010309940873363722, 0.004068772529529784, 0.2874183315021959]]",0.1592592397593839,False,vbgmm,9.559432029724121
9,19,2,5,362,"[0.6485784814939516, 3.9370473259088907, 5.450218122102686]","[[0.029887777967568478, -0.08552021718811585, 0.005970818741977201], [-0.08552021718811585, 0.32924710691777465, -0.018163428845714747], [0.005970818741977201, -0.018163428845714744, 0.09498911705426542]]",0.12576603107761372,False,vbgmm,6.603790998458862
9,20,4,0,51,"[0.4499649976238063, 2.1197830037670804, 3.276637899463971]","[[0.004003863091392226, -0.005339237583405102, -0.004613202674410953], [-0.005339237583405101, 0.07040943660032446, -0.012003440711039867], [-0.004613202674410953, -0.012003440711039867, 0.5436519398967455]]",0.24621920637381592,False,vbgmm,3.746366500854492
9,21,4,1,32,"[0.433437279240656, 2.3625790734819367, -1.1618088360406178]","[[0.005867671196115167, -0.025775456277650096, 0.004042782236227671], [-0.0257754562776501, 0.15841472300118806, -0.1547137808382244], [0.004042782236227671, -0.15471378083822443, 2.9330456744230333]]",0.14723334734909424,False,vbgmm,3.1145946979522705
9,22,4,2,16,"[0.3790515678904809, 2.362763433843311, 1.6093215579902351]","[[0.002724240772596914, 0.007966864633325292, -0.002290006767283022], [0.007966864633325292, 0.11695200141825725, 0.04294298903130559], [-0.002290006767283022, 0.04294298903130559, 0.8263459569402615]]",0.08219435288794566,True,vbgmm,3.055638551712036
9,23,4,3,107,"[0.33453808235817717, 2.447019733358508, 3.1797961350709985]","[[0.0007400816123789317, -0.001936934812530718, -0.0034394248518336613], [-0.0019369348125307185, 0.20200088505139063, -0.09641619047081042], [-0.0034394248518336617, -0.09641619047081043, 0.5063879356372364]]",0.4320362144016027,False,vbgmm,4.012562274932861
9,24,4,4,20,"[0.35875588406985104, 2.18189336367172, -2.051454266704854]","[[0.001389213748202455, -0.0027343096324106246, -0.007490683893168965], [-0.002734309632410625, 0.0774035662791169, 0.0075184849976252036], [-0.007490683893168965, 0.007518484997625203, 3.3877697727849916]]",0.09231687898754148,False,vbgmm,3.0685784816741943
9,25,5,0,175,"[0.3836898492692584, 4.019310659696709, 5.60601778955808]","[[0.0027303541418947377, -0.002042498220762452, -0.0016620494974410884], [-0.002042498220762452, 0.16726532275357783, 0.017440840659385157], [-0.0016620494974410884, 0.017440840659385157, 0.053252692370561926]]",0.21006881616359493,False,vbgmm,4.4678144454956055
9,26,5,1,112,"[0.5017837190430021, 2.814257755964036, 5.522531700797902]","[[0.013881021734001409, -0.011665534275742875, 0.010813292981765893], [-0.011665534275742875, 0.3586296230301663, -0.014062721187866526], [0.010813292981765893, -0.014062721187866525, 0.04845684144731602]]",0.15001496260265126,False,vbgmm,3.951512575149536
9,27,5,2,132,"[0.500059197610756, 3.88146750571287, 5.810599278917276]","[[0.01112625989105111, -0.038949198113479695, 0.0007478271332574993], [-0.03894919811347969, 0.19460484102643852, 2.7569232278474507e-05], [0.0007478271332574993, 2.756923227847451e-05, 0.02003289376444419]]",0.1776268962820341,False,vbgmm,4.354784965515137
9,28,5,3,81,"[0.32786659471817753, 4.916015358571035, 4.020799747175468]","[[0.0014855025805343449, -0.007044473040007351, 0.0014688625760507525], [-0.0070444730400073515, 0.06743520737857368, -0.07043792086150434], [0.0014688625760507527, -0.07043792086150434, 0.9703719386937788]]",0.103498091812278,False,vbgmm,3.9929072856903076
9,29,5,4,228,"[0.32149653468219136, 4.672705540991367, 5.485474801788781]","[[0.0007292452310126577, -0.0035859139986374835, 0.0010327856454825206], [-0.0035859139986374835, 0.09921412929451585, -0.006676947065443565], [0.0010327856454825208, -0.006676947065443571, 0.11835990188639921]]",0.2576985353940432,False,vbgmm,4.873393297195435
9,30,5,5,81,"[0.7592411727371549, 2.744804079517682, 5.599738309823486]","[[0.012987827962652604, -0.041644603084453245, 0.006688601601877389], [-0.041644603084453245, 0.23839764195368607, 0.003138110967856663], [0.0066886016018773906, 0.003138110967856663, 0.05472013907683591]]",0.10109269774539847,False,vbgmm,3.992527961730957
9,31,6,0,61,"[0.9156732838564241, 5.428470800101096, 5.690152497982509]","[[0.004602767048143366, -0.0008609797143535145, -0.001452917422038156], [-0.0008609797143535147, 0.019965340846763772, -0.006433579038588042], [-0.001452917422038156, -0.006433579038588041, 0.019981058840597518]]",0.10127781853789986,False,vbgmm,3.8111019134521484
