n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.659723,77.37899462,29.17981848,2.18930924,4.89177699,0.52410889,1.47478247,2.24811411,2.72161198,3.02469444,3.24881506,3.4281249,3.57665825,train,2,2,14
0.91600669,211.89221123,371.54620137,2.15496913,4.95838791,0.14379096,0.20540237,0.28061843,0.35964608,0.43310022,0.50403833,0.57372785,0.64135885,train,2,0,4
0.46269555,167.52622608,3.68427691,2.15921024,5.01094298,0.45780611,1.25179052,1.91714692,2.32799268,2.58572125,2.77458978,2.92558742,3.05365872,train,2,2,14
0.3228045,43.50298723,94.55957136,2.1,4.4,0.7220497,1.9518962,2.772256,3.118631,3.271574,3.343935,3.3804584,3.4075365,train,2,2,10
0.95118877,159.17746583,44.17061199,2.51111541,4.543972,0.26027918,0.46211052,0.67498398,0.8746109,1.06155229,1.23703027,1.40012598,1.55197144,train,2,1,6
0.31062405,208.86564393,171.88397199,2.45247103,4.33291406,0.43620801,1.12780619,1.66974592,1.95526838,2.09281063,2.18448448,2.25994062,2.32586813,train,2,1,5
0.5863573432323453,5.625427377128295,25.793606434426028,2.5,4.0,1.1514503955841064,3.767763137817383,6.516505241394043,8.518349647521973,9.463479042053224,9.71877384185791,9.755084991455078,9.772418022155762,train,2,3,16
0.99927783,18.73366928,39.08673859,2.90950108,4.3119874,0.71093106,1.98415518,2.94425058,3.51801872,3.88326168,4.14037323,4.33454609,4.48998833,train,2,2,14
0.95439961,189.98809942,39.24615885,2.9,4.3,0.23871946,0.39339256,0.5655031,0.72238445,0.86808014,1.0061703,1.1356783,1.256978,train,2,1,6
0.40395176,38.64101411,266.55119007,2.6,4.9,0.57366276,1.4857159,2.1134243,2.2913904,2.2974873,2.2996488,2.3011918,2.302621,train,2,1,5
0.89192676,191.41902324,320.0912216,2.2,4.9,0.13662148,0.16200304,0.21338844,0.25185394,0.2900858,0.32794094,0.35999584,0.3907075,train,2,0,0
0.6964976,89.44458366,203.8377321,2.2,4.9,0.27963972,0.51965475,0.69480944,0.8348446,0.9504123,1.0466285,1.1287093,1.1984458,train,2,1,7
0.84941508,97.80259303,389.79554754,2.8,5.0,0.23625135,0.35356855,0.45199966,0.5365362,0.60802937,0.67307043,0.72997284,0.7816744,train,2,1,8
0.88130326,176.99165822,315.8404278,2.34207841,4.92648875,0.18826914,0.29975438,0.42186785,0.53838634,0.64930248,0.75552487,0.85682154,0.95394111,train,2,1,6
0.49478701,191.76678467,176.04905701,2.50785446,4.90937567,0.35714316,0.80244803,1.16120434,1.43643379,1.65320635,1.82952023,1.9769969,2.1028142,train,2,1,7
0.3850685885322382,11.845011892248973,0.6891024443697467,2.20520067,4.29760933,1.1750619411468506,3.92745304107666,7.106589794158936,9.74558448791504,11.2000732421875,11.574249267578123,11.587594985961914,11.5955810546875,train,2,3,15
0.77523303,96.01976013,199.37251282,2.06366301,4.65197134,0.30481935,0.66053414,0.96593428,1.22687864,1.44641924,1.63328266,1.79296947,1.93069816,train,2,1,7
0.85196031,58.03109135,314.39999303,2.9,4.8,0.35177183,0.67099905,0.90307426,1.0811028,1.2202277,1.3330588,1.4251747,1.5036368,train,2,1,7
0.65837494,257.37090709,262.9107355,2.8,4.5,0.18808317,0.24911022,0.33183813,0.40427065,0.4607911,0.519464,0.5728779,0.62518406,train,2,0,4
0.42275102,145.79080795,364.00218893,2.1,4.2,0.1841774,0.21765947,0.25145864,0.2758355,0.29178953,0.30724335,0.3212118,0.33576345,train,2,0,3
0.78568518,17.42666626,117.87278748,2.05685782,4.75506973,0.69562531,2.18526626,3.46105552,4.16677856,4.43855286,4.54308987,4.60323238,4.65206432,train,2,2,12
0.91924703,13.13557911,16.97818565,2.19968152,4.29675913,0.78620243,2.36415815,3.58002234,4.22653961,4.56746864,4.7812829,4.93354177,5.05049372,train,2,2,12
0.30623457,141.32122885,61.39717139,2.83161852,4.35937421,0.68975425,2.11498952,3.34392142,4.02476978,4.22539425,4.28229809,4.32513905,4.3651247,train,2,2,12
0.82061599,64.27970137,245.97668671,2.36001087,4.01982953,0.36599302,0.81046367,1.16252995,1.43271089,1.64390945,1.81321335,1.95355844,2.07022619,train,2,1,7
